URL,Device,Performance Score,Accessibility Score,Best Practices Score,SEO Score,PageSpeed Analysis URL,Error
https://www.dentalcrafters.ca/porcelain-veneers/,desktop,Error,Error,Error,Error,Error,Request failed with status code 400
https://www.dentalcrafters.ca/smile-makeover/,mobile,Error,Error,Error,Error,Error,Request failed with status code 400
https://www.dentalcrafters.ca/smile-makeover/,desktop,Error,Error,Error,Error,Error,Request failed with status code 400
https://www.dentalcrafters.ca/meet-the-team/,mobile,Error,Error,Error,Error,Error,Request failed with status code 400
https://www.dentalcrafters.ca/meet-the-team/,desktop,Error,Error,Error,Error,Error,Request failed with status code 400
https://www.dentalcrafters.ca/finance-insurance/,mobile,Error,Error,Error,Error,Error,Request failed with status code 400
https://www.dentalcrafters.ca/finance-insurance/,desktop,Error,Error,Error,Error,Error,Request failed with status code 400
https://www.dentalcrafters.ca/reviews/,mobile,Error,Error,Error,Error,Error,Request failed with status code 400
https://www.dentalcrafters.ca/reviews/,desktop,Error,Error,Error,Error,Error,Request failed with status code 400
https://www.dentalcrafters.ca/contact-us/,mobile,Error,Error,Error,Error,Error,Request failed with status code 400
https://www.dentalcrafters.ca/contact-us/,desktop,Error,Error,Error,Error,Error,Request failed with status code 400
https://www.dentalcrafters.ca/site-map/,mobile,Error,Error,Error,Error,Error,Request failed with status code 400
https://www.dentalcrafters.ca/site-map/,desktop,Error,Error,Error,Error,Error,Request failed with status code 400
https://www.dentalcrafters.ca/bone-grafting/,mobile,Error,Error,Error,Error,Error,Request failed with status code 400
https://www.dentalcrafters.ca/bone-grafting/,desktop,Error,Error,Error,Error,Error,Request failed with status code 400
https://www.dentalcrafters.ca/wisdom-teeth-removal/,mobile,Error,Error,Error,Error,Error,Request failed with status code 400
https://www.dentalcrafters.ca/wisdom-teeth-removal/,desktop,Error,Error,Error,Error,Error,Request failed with status code 400
https://www.dentalcrafters.ca/smile-gallery/,mobile,Error,Error,Error,Error,Error,Request failed with status code 400
https://www.dentalcrafters.ca/smile-gallery/,desktop,Error,Error,Error,Error,Error,Request failed with status code 400
